comment,Sentiment
笑死。🙌。誤會誤會,0
靠邀,0
有點痛我居然看懂！？剩蛋歌手,0
活該靠背喔出人頭地😢媽媽陰影得多大......,0
這樣會造成搶劫人數飆升欸🤣,0
早熟,0
哇！小熊維尼🤣,0
這個好嗆尤其是光碟的部分😂😂😂😂😂,0
連續七胎女兒機會是多少？女兒都去做八大啊賺爛了賺爛了👍🏻,0
就是你😂😂😂,0
欸不是也太猛了吧,0
本是同根生香煎牛小排,0
有夠壞鄭傑？,0
😂😢好壞笑就7414了😍,0
耶穌說的算這是你嗎再再啦幹再啦。,0
downminic,0
我認得這棵樹！！！,0
我在按臉書的留言,0
FF,0
地獄特快車不懂求解,0
米糕來自地獄的米糕地獄米糕,0
盲種愛吃蝦仁炒飯找不到洞哪來的孩子鼠敏這什麼梗,0
呢個地獄梗不得了🤣益智遊戲😢😡,0
牛奶真好喝笑死骨輝,0
東山壓頭這一定會下去！我絕對沒笑,0
五湖臨門😂😂,0
不懂參考一下,0
食戟之靈看得到廚師的面孔葷食麵筋,0
真安息,0
你們三個剛好夠,0
盆栽要剪女人要扁？妳們都是憑拳,0
地球之歌全體滅亡奧丁神劍皇帝企鵝螺旋槳風暴永恆暴風雪,0
他其實是個哲人,0
牙齒對郎造牙伶級掰,0
有輻同享,0
廢他也只能屌打而已,0
孤兒吃什麼都是家庭號呢,0
這什麼意思這視距蠻寬的欸反正都得下地獄了何不成為地獄裡的神這比一口炸雞一口可樂還壞==,0
海邊六小傻fuckkkkkk😂不愧是地獄迷因,0
M.V.P幹你娘地獄,0
❤️按不下去掉頭就走小燈泡掉頭前往學校一展歌喉，變得毫無煩腦...,0
🤣🤣！,0
真猶你德真猶你德我瞬間搞懂了什麼,0
？因為她坐的是救護車不是接駁車淦這地獄到不忍心按讚,0
onogohell可能是被掐後腫起來她可能沒有說謊可能是被掐後腫起來,0
下地獄吧LEGONE,0
真猶你的需要更集中一點,0
小孩子才做選擇我撞兩個買一送一j格拓海是你？,0
沃好好玩ㄛ卿你有一個來自武漢的包裹，請簽收靠😂瘟疫公司是怎樣我只知道奧利奧也是抄襲抄的好做得好才能當老大但原神能上switch是三小,0
笑死我了也太地獄超級合我心意！！！該更新了青海也淪陷了唷🤔🤔🤔🤔殭屍模式..,0
那o(o-->0)型怎麼辦?,0
長的像呂維臻地獄之刃,0
這個想法好棒哦幹ohfuck等你好久！！！好久不見先截圖以免被刪文,0
草習特勒那是海苔嗎！,0
，還不夠地獄：一餓三死標註台灣1歲小孩：ㄩㄜˋ三,0
而且只能拍動動😂4gif好嗎有點好笑我的肯定是紀錄片還有上中下版主本人的苦腦幫你哭哭,0
德意的一天不錯猶o/真猶趣猶希望了是畫猶畫嗎？這也難怪了猶點東西你歷史真好😂😂😂朋猶好帥拜託你朋友有個超棒的小鬍子欸那是很酷的事好嗎猶點意思猶點意思這個梗有人看的懂嗎那個考不進藝術學院的奧地利男人別人考不上美術系：沒關係！二戰就好了！那個男人：沒關係！二戰就好了！你的朋猶很德係20年後：我睾丸少一顆😢看著柏偉德意洋洋的臉,0
下次不會了🔥沒有下次😢不能笑玩笑說開就開我們不留情面輪椅叔：沒有不小心啦，上次有個大哥也像你一樣，我笑他，他叫人把我腳打斷的,0
把白色的頭套戴起來賞他一顆花生米。合理。😂😂😂#地獄梗就他要是跟我打架不出一秒他就得跪在地上掐我人中求我不要死了接頭霸王街頭藝人很簡單換女友,0
只要你懂海他不會幫助你的死心吧,0
😢加油喔每個人都有機會的，類似這樣的鬼話。不過聽我朋友說她人很好所以是有機會😂又不是每個人都有使用下體的機會*機巴臉,0
Isay:"heyeyeyeyey~heyeyey"?笑到不行,0
生日快樂明？😂,0
我找到速成班了你要撐的住tryit想試吓work唔work🔥🔥🔥會不會成功減肥我不知道，我只知道一天500次你的雞雞絕對會出大出血不用一星期，一天你就能精盡人亡去給人幹很快就能瘦了為什麼還能看到肥的av男優如果1天500次，理論上平均每次需時=24x60/500=2.88，因此每次不能超過三分，而且不能停😢一天500次我可能會先投胎50次所以一天五百次有人要示範嗎,0
懂了嗎，現在人工智能幫打馬賽克的檢察官跟法官可以吧是啊同時我對那個裸體的人做啥他們也不知道你很適合擱這卡bug呢？,0
台中人的聊天記錄不是啊晚回訊息也可以這麼兇ㄛ,0
這個布局。給過君子報仇？十年不晚高手👏,0
坂道みる原来如此留意小盒子，有論壇平台推廣，資料傳小盒子裡，歡迎回覆😃😂句中對欸，這個翻譯者的水準😏,0
男以啟齒😂😂😂nevergonnagiveyouuprickrolled什麼梗！！🤔,0
盲目了吧四眼田雞😍凱蒂絲是不是在憋笑so~sad~😂比毛利蘭還厲害的角終於找到了愛情會使人盲目尖頭哈哈哈哈哈哈哈哈哈哈哈ohhellno,0
納誰叫你要丟一個電子呢😂「閒」沒差啦😂😂😂😂😂😂笑死,0
吉良吉影你終於發片了求原頻道抓有人知道甲的台語不是Gay嗎跟你們好像喔我們來看誰按讚以後就小心一點,0
啊嘶😂爸爸弄長來等你阿部高和母湯🤨🤨男上加男的部分嗎😂,0
等我😂不要鬧ㄛ小心一點修但幾勒！！我標太多小金了所以標一下你就是你😂😂😂😂😂😂好恐怖😢好恐怖這看起來比較像杰哥家，阿偉正在求救打砲啦不意外???超可怕好可怕農曆七月要小心好可怕嘗嘗老那(拖走),0
活該啦，可憐：7417自己住啊不是住在哪都願意嗎你們這些人有夠沒人性在怎麼樣也是台灣人叫她戶頭給我我把冥紙匯款給她燒不完的放冰箱死了也要手裏有點$才能走的安心👏👏👏👏👏拍拍拍拍👏👏👏👏👏連廣告都要來嘲笑她🤣其實真心覺得她很可憐一直罵台灣說是中國人可是中國那邊還是覺得她是台灣人😂😂😂😂OhChina置入行銷讚喔叫小粉紅來租啊⋯⋯哇塞…😮,0
跟自己說我的屌很短+$200200...等一下等一下😂兩百元，也就是說，兒子是第一個謊言（不是親生的），我愛你（不愛你）是第二個靠北哈哈哈哈,0
好像很有道理（？倖存者偏差臺灣有一個啊死人是不會抱怨的😂因為已經死了😂,0
芒果哥😢沒有沙冰，沒有傷害😂可以問一下是什麼意思嗎當保護動物+植物協會：,0
這梗都過多久了…怎麼還是這麼好笑😂😂😂😂😂😂😂Yyouyour🤣🤣🤣Ie?你那還來得及梭哈比特幣素還真4你🙌Weeacc😢😢yuotuhhIiwmmy😂母汤😂笑死全交王柏霖阿嬤你為什麼沒感覺,0
是武漢肺炎0,0
笑死好地獄仗笑點在哪裡無聊我家還要幾個餒我想了三秒地狱见咯~~？🤔黑人現在也沒辦法買賣了喔🥰,0
為什麼我會想到你這像是那你會做的事情😂酷欸三個奶子大軍的,0
又回到原點了😂😂動森:amIajoketoyou?,0
女武神派來的亞當吧求解完美無缺的模仿她是不是….已經會射箭了？！😂😂還好她數值沒有點體力，不然全都是她😂沒被宇智波支配過都不知道怕欸,0
還好不是楊勇緯XD戰況蕉灼揉到懷孕男子組揉到射小心等等乳房大軍變成男生衝出來喊:想不想吃我的香蕉呢，來觀看我的99歲視頻💦💦浪漫na男上加男😂野獸學長要出來了,0
詭異這我喜歡邪教,0
欸这修得很逼真捏👏,0
，不知輻阿薛，你的玩具掉了核童下地獄吧同我一齊下地獄lolcurrency...galaxyheroescoin幹不能笑地域梗從沒見過啥像你們一樣突變這麼嚴重的前腳長到脖子上頭上還缺乏葉綠素的,0
，可以不要亦直po這個嗎，很凡欸！-byword很大,0
想像力就是你的超能力國中的我根本天才這種文我絕對標爆,0
😂我也是難以想像不懂,0
笑死😭😭,0
，在西方就感謝上帝啦😂😂😂下地獄完了我要下地獄了第一,0
Popo在後面追第四个是什么？?killortobekilled,0
你欸,0
小肉豆小拉基。小玉小gg小粉紅小明小小小兵小王吧🥚😂😂你媽雞拔毛，小自己打,0
憑實力單身👏👏👏😮恭喜那女孩找到了一個最好的廚餘桶憑食力單身,0
😂:今天很嗆是吧,0
貓砂盆太小...killerqueen超夢有潛力,0
看來爺爺有在打捏完全不明白我聽到那棵樹在說話！越戰時期陰影概念,0
宇哥不要,0
“笨蛋”，女主角寫什麼我就不知道了,0
朝聖，我在這裡😂😢这么不应该这样开玩笑的兒子更成熟了，迎火晚會玩的開心（準備去積陰德）不懂？地獄梗欸🔥哈哈，博大精深😂,0
社長怎麼看完蛋要下地獄了：）好好笑猶點意思，以後不用洗面乳了，中文程度不好送你下去那我怎麼辦第一個人的名字是碼辛酸的吧看來有人德意忘形囉尤里😂我猜的地獄見地獄在迎接我好尤喔尤里性感尤物地獄餒不懂尤米爾,0
去賣豆腐了😂Dejavu🚐請高手示範一次😆笑死我了啊哈哈哈車身沒傾斜，照樣開罰Z字鏡飄😂飄移飄起來😂😂,0
哭上菜囉這家店有外帶嗎這家店在哪我要去,0
抖音果然都小學生在用死了也在用非常和理“😣Youcan'tjustburnavillage”“😎hahfirego17歲那個是什麼在幾年前我的年齡已經準備迎戰第一次世界大戰現在的我剛成年好澀哦,0
😂😂IknowwhatyouwanttosayguessBiggerNickerxavierhooker當然是n....driver啊有什麼問題嗎？niggxx絕對是driverTinderFingerFucker,0
阿伯初4了!😢😢,0
AZ,0
😂番茄醬都不敢要的人說保護人,0
是沒加鹽對吧是沒下鹽是吧?是我忘了下鹽對吧!那是失戀的味道⋯馬上去吃一口鹽，你就會發現衹是忘了給味道。1922打起來⋯⋯。❤️1922一开始以为他暗恋表哥所以表哥嫌饭菜没味道的时候他伤心，然后我才看懂……然後你吃一口發現你也覺得沒味道,0
不都是55kgㄇ,0
～暴龍開車恐龍QQ小短手要幫你咪😂跳進去啊#該死的武漢肺炎長知識了恐龍滅絕的原因,0
一定是確診😂😂😂你是否也是趕快喝一下怎麼會這樣😢智商呢dontevenspeakthislanguageandsomehowifinditfunny😂😂what🥲😂😂😂😂😂😂😂你一定確診 ha😂😂吃炒飯也沒味道嗎😂看一下置頂代治大條了1922絕對是CT<30笑死哈哈哈哈你看下面留言好好笑笑死😂😂確定不用看腦袋？🤣🤣🤣要嗎🤔腦袋燒壞😂😂很合邏輯😂，代表他尝得到，干嘛变成没味觉了😑這應該是腦部纖維化哈哈哈不是台南人歐1922哈哈哈😂😂😂ngakakgue😂怎么办我喝白开水没有味道,0
😂😂😂😂😂Xavier也是啊….前世可能是甜不辣如果他們前世也是黑人的話，是我的澎湖縣😂😂😂无法想象Xavier的前世……我的胎记在屁股上，所以。。。我的胎記在後頸w我的胎記在手指和肚子欸所以原來我小腿肉被割下來失血過多挫掉的我的小腿肚被捅了，和还有我的肚子所以你額頭被捅喔你有胎記ㄇ屁股有胎記咋辦🌚🌝🌚🤡🤡我沒有胎記😢,0
gan它毛看起來超柔順牧羊犬也懂wfh大哥..哥這是尼娜吧？？放羊的孩子,0
就6月又70多小时啊8＊8＝646×😏=24那天,0
有請迷因生活家暨邏輯鑑賞員點評撒旦:你比我还邪恶一起下去等一下！笑话:二个人安全駕駛睿智刀撒旦:既然你注定都要下地狱了为何不犯下更多的罪过到下面来当个传说呢不知道為什麼但這種白痴的東西就想tag妳好好笑，我不懂馬路的思考模式。？？😂🤣🤣😂😂😂😂😂😂😂第一次在其他地方看到你的梗圖餒：我閃過的話會撞進一間餐廳傳奇有好笑地獄…超有原則電車難題邏輯鬼才ㄟ，明明撒旦也很壞，多了一個壞胚子當小弟，應該要先獎勵呀！：這個人智商不太高但是業績還不錯第三行我還以為馬路在說話人才？？？？？what?做事很有原則呢？沒毛病,0
（誤）幹有夠好笑,0
大哥…..哥在打敗我之前先跟我的寵物玩玩吧！狗才是Boss本體女兒是傀儡站起來犹豫就会败北我只發現了後面的日輪刀🌚哈薩ki~(･᷄ὢ･᷅)doIhearbossmusic?為什麼我覺得有點像鬼滅的琵琶女看起來有兩條命這一定是薪王女孩只是傀儡，主謀是那隻臘腸勇者，你即將面臨的就是我這個強大的驅獸王-雪莉跟我最強的召喚獸-可愛的狗勾慘了😂！鞋Key羅！，你要在此打敗我才行⋯⋯拔刀😂😂真不愧你能走到這裡來呢，就由我雙刀康妮來當你的對手吧感覺下一秒要開啟暴走模式了黑暗靈魂😂，接下來有一聲：終於來到這裡了嗎！接下來女兒緩緩的從黑暗出現，頭一樣保持著低下，接著拿起武士刀第一回合boss戰。！危！！：終於還是來到這裡了嗎旅人，可惜這就是你的終點了！這個絕對有第三型態！日本人家有個一兩把武士刀很合理吧你家的亂入大。。。哥。。。哥牙通牙睡之呼吸一零參之型一次打兩個Boss？?鬼武者之類的你能通過前面的試煉還真不簡單呢，接下來就由我雙刀的珍妮來對付你等等那個女孩跟狗會不會被煉成…大哥哥冒險者，你的旅程就到此為止了,0
他看到你在嚕館仲蛤看不是很懂,0
😠😠😠不要侮辱耶稣看gelay1653我要手淫也不會砍你的影片,0
下地獄吧🥲他是被吸出來的喔生在輻中不知輻忍住我不能笑😂😂😂😂,0
👏哪天我想去看看到底是多香，可以一直回沖,0
❤️,0
极限拉扯哇耖🤣嗆爆🤣🤣,0
微地獄,0
上面怎麼濕濕的去討論報告的一群女大學生在聊天的途中就這樣坐下去了💦💦但生意不知道為什麼更好了,0
高手雲集,0
製造商機你要先中槍，我就可以扮醫生醫你標靶治療啊不然咧標靶治療當你用doc救人時北韓醫生確診就槍斃安樂死看你時日不多，來個痛快吧！💥🔫醫不好就物理超渡皮諾可這個直接射死沒救了直接射死,0
南北戰爭part2水欸🔥淦，太嗆啦😂😂😂,0
不懂欵？,0
，不能留下目擊者妳知道的太多了😮知道的太多了,0
硬要小費的後果,0
當分局長看到監視器有拍到黑道砸警局的畫面,0
耶蘇也不能用手吃飯,0
leggotmd哈哈哈哈,0
無髮理喻沒有髮所以毫髮無傷lmaowow~白痴喔喔超級喜歡大家知道為什麼他老婆找死人無罪嗎因為有髮才有罪!!!其實R6有個角色叫Clash？我記得那邊有個黑人走過來了👋🏾👋🏾👏🏾威爾史密斯還有五秒抵達戰場,0
最新品種,0
重點是耶穌不會幫你打會這樣就代表你跟釘子一樣細(⁎⁍̴̛ᴗ⁍̴̛⁎),0
中國疫苗者思想用散彈槍太暴力了，用咬的就行，這樣對方還能變回人類。殭屍咬人變殭屍，那人咬殭屍肯定也會變回人,0
他本來就只想救豬肋排，在火場裡看到最像的東西就拿出來了，發現不是,0
聖光死神逆？？,0
Anidiotsandwich😂怎麼長的有點像高登,0
為什麼約翰·維克會坐在那,0
你有看到海嗎？（在旁邊海在哪裡?嘟嘟嘟嘟dora,0
背是動詞還是形容詞貴媽真亂👏資訊量過大情況從複雜變成難以理解關係也太亂了吧😂可以準備上演繼兄弟姊妹的劇情了,0
diu笑到肚痛這是一個悲傷的故事，可是看到一群愚民看到標題就開槍真的有點心累。還好我只有1號，克隆人喔？笑死病逝說是台鐵害的😂,0
阿拉花瓜,0
bad👎第一個是使用說明我叫你吹,0
把準備進化著陸的生物趕回海裡去好壞🤣,0
尊重早洩也是需要尊重他算數不好被看不起吧，學生們以後數學要學好，才約的起來十分鐘也要三百啊,0
dllm..🤡www,0
？後面有看不見的東西在拉的他手,0
母湯發明你嗎是Thompson吧（別噴我錯了每啦幹發明了萬有引力…,0
我本可以一次艹三个女的地獄三頭犬王者雞多拉真的假的...這就是…哇操無情,0
對不起但我…笑出來了會怕喔都是日本來的,0
😂😂噢不,0
，沒有電腦也可以玩踩地雷，看來他的朋友都踩到了呢,0
笑死我也是,0
小小年紀所向無敵超級公權力,0
沙包顏色不對（這是重點嗎？地獄笑話😭😭😭被當沙包为什么是我的爸爸盆栽要剪女人要扁😈😈😈地獄下地狱去吧你😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😉😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢不懂,0
笑死U爆,0
煉金術師…:(不懂😢淦我去不了天堂了😢😢,0
一個”開源”節流的部分是吧不我們是在造水,0
堂堂食人族被Gordon罵出陰影,0
